Código;Descripción;Descripción adicional;Sinónimo;Código de barras;Tipo;Escala
01040007;Chorizo de cerdo en bolsa 5 kg;;;2100023100003;Simple;No usa
01040008;Chorizo especial;;00011;;Simple;No usa
01040010;Hamburguesa premium x 4 Unid;Band x 4 Unid.;00161;2116102990007;Simple;No usa
01040011;Hamburguesa premium x Unid;KG;00133;2113300365002;Simple;No usa
01040012;Milanesa de cerdo;;00057;;Simple;No usa
01040013;Milanesa de cerdo congelada;;00204;;Simple;No usa
01040014;Salchicha parrillera;;00027;;Simple;No usa
01040016;Oferta chorizo criollo;2kg (venta x unidad);;2100013100006;Simple;No usa
01040017;Chorizo de cerdo picante;;00010;;Simple;No usa
01040018;Pasta parrillera;;00018;;Simple;No usa
01040019;Modulo Alimentario;;;;Simple;No usa
01040020;Salame artesanal;;000098;;Simple;No usa
01040021;Chorizo especial c/morron;;00051;;Simple;No usa
01040022;Chorizo especial c/morron y queso;;00052;;Simple;No usa
01040023;Chorizo especial c/roquefort;;00053;;Simple;No usa
01040024;Nuggets de cerdo;;00094;;Simple;No usa
01040025;Bastones de cerdo;;00095;;Simple;No usa
01050001;Cabrito;;00145;;Simple;No usa
01050002;Costillar Cabrito;;00207;;Simple;No usa
01050003;Cuarto trasero de cabrito ;;;;Simple;No usa
01050004;Morcilla;;00028;;Simple;No usa
01050005;Morcilla bombon;;00092;;Simple;No usa
01050006;Morcilla bombon env. al vacío;;00205;;Simple;No usa
01050007;Morcilla picante;;00026;;Simple;No usa
01050008;Arroz con carne x 500 gr;;;;Simple;No usa
01050009;Arveja seca remojada x 340 gr;;;;Simple;No usa
01050010;Carbonada x 500 gr;;;;Simple;No usa
01050011;Cerdo en salsa x 500 gr;;;;Simple;No usa
01050012;Fileto x 340 gr;;;;Simple;No usa
01050013;Garbanzos x 340 gr;;;;Simple;No usa
01050014;Guiso de lentejas x 500 gr;;;;Simple;No usa
01050015;Lentejas x 340 gr;;;;Simple;No usa
01050016;Locro x 500 gr;;;;Simple;No usa
01050017;Pizza x 340 gr;;;;Simple;No usa
01050018;Pollo a La portuguesa x 500 gr;;;;Simple;No usa
01050019;Pomarola x 340 gr;;;;Simple;No usa
01050020;Poroto alubia x 340 gr;;;;Simple;No usa
01050021;Pulpa de tomate x 520 gr;;;;Simple;No usa
01050022;Pure de tomate x 1020 gr;;;;Simple;No usa
01050023;Sopa de vegetales x 500 gr;;;;Simple;No usa
01050024;Salsa bolognesa x 500 gr;;;;Simple;No usa
01050025;Salsa con pollo x 500 gr;;;;Simple;No usa
