Código;Descripción;Descripción adicional;Sinónimo;Código de barras;Tipo;Escala
07030029;Guante rugoso 100° alta temp.;;;;Simple;No usa
07030030;Cabo de vida ;;;;Simple;No usa
07040001;Servicio medicina laboral;;;;Simple;No usa
07050001;Viáticos;;;;Simple;No usa
07050002;Viáticos no gravados;;;;Simple;No usa
07050003;Viáticos 10.5;;;;Simple;No usa
08010001;Honorarios asesoramiento;;;;Simple;No usa
08020001;Honorarios prof de terceros;;;;Simple;No usa
08020004;Servicios de desinfección ;;;;Simple;No usa
08020006;Hon. prof terceros no grav.;;;;Simple;No usa
08020007;Honorarios prof de terceros NG;;;;Simple;No usa
09010001;Glensol Bfa A x 25Kg;;;;Simple;No usa
09010002;"Filtro Dgd 4.5"" X 20""";;;;Simple;No usa
09010003;Glensol 3901;;;;Simple;No usa
09010004;Glensol K429;;;;Simple;No usa
09010005;Glensol Sc X Litro;;;;Simple;No usa
09010006;Glensol K430  X Litro;;;;Simple;No usa
09010007;Glensol Roc3  X Litro;;;;Simple;No usa
09010008;Glensol K55  X Litro;;;;Simple;No usa
09010009;Glensol Cit  X  Kg;;;;Simple;No usa
09010010;Glensol Roc 8  X  Kg;;;;Simple;No usa
09010011;Amoi 300;;;;Simple;No usa
09010012;Voda 1310;;;;Simple;No usa
09010013;Smbs-20;;;;Simple;No usa
09010014;Amoi Reg. ;;;;Simple;No usa
09010015;Amoi 511 ;;;;Simple;No usa
09010016;Amoi 510;;;;Simple;No usa
09010017;"Filtro 30""x2.5"" x10u";;;;Simple;No usa
09010018;Bacterias 3901;169;;;Simple;No usa
09010019;Glensol Cit x25 kg;;;;Simple;No usa
09010020;Membranas baja presión ;Planta Osmosis;;;Simple;No usa
09020001;Servicio técnico para osmosis;;;;Simple;No usa
09020002;Rotametro Med de flujo Cd110;;;;Simple;No usa
09020003;Rotametro med de flujo Cd150;;;;Simple;No usa
09020004;"Filtro 30""X2,5";;;;Simple;No usa
09020005;"Filtro 20""X5";;;;Simple;No usa
09020006;"Filtro Dgd 4,5""X20";;;;Simple;No usa
09020007;"Traba exterior tapa housing 8""";;;;Simple;No usa
09020008;Piezas para osmosis;;;;Simple;No usa
09020009;Kit rep. cabezal p/osmosis ;;;;Simple;No usa
10010001;Sal Entrefina;;;;Simple;No usa
10010002;Ligante;;;;Simple;No usa
10010003;Provenzal;;;;Simple;No usa
10010004;Oregano;;;;Simple;No usa
10010005;Ajo;;;;Simple;No usa
10010006;Pimienta;;;;Simple;No usa
10010007;Nuez Moscada;;;;Simple;No usa
10010008;Tripa Calibre 38 P/ Chorizo;;;;Simple;No usa
10010009;Tripa Calibre 23 P/Salchicha;;;;Simple;No usa
10010010;Hilo Choricero;;;;Simple;No usa
10010011;Rojo Carmin;;;;Simple;No usa
10010012;Pan Rallado;;;;Simple;No usa
10010013;Tinta P/ Media Res;;;;Simple;No usa
10010014;Vino Blanco;;;;Simple;No usa
10010015;Unit Pack Hf;;;;Simple;No usa
10010016;Natured Fresh;;;;Simple;No usa
10010017;Vinagre;;;;Simple;No usa
10010018;Aditivo p/ milanesa ;;;;Simple;No usa
10010019;Aditivo p/ hamburguesa;;;;Simple;No usa
10010020;Rebozador ;;;;Simple;No usa
10010021;Pimentón;;;;Simple;No usa
10010022;Ají molido ;;;;Simple;No usa
10010023;Integral Hamburguesa ;;;;Simple;No usa
10010024;Integral Morcilla ;;;;Simple;No usa
10010025;Anticoagulante p/sangre fresca;;;;Simple;No usa
10010026;Integral p/ nugget;;;;Simple;No usa
10010027;Lactato;;;;Simple;No usa
10010028;Harina de trigo ;;;;Simple;No usa
10010029;Almidón de maíz;;;;Simple;No usa
10010030;Integral Salame ;;;;Simple;No usa
10010031;Integral Bondiola ;;;;Simple;No usa
10010032;Tripa fibrosa regular 42x30mt;;;;Simple;No usa
10010033;Red de hilo p/ bondiola;;;;Simple;No usa
10010034;Cultivo Iniciador x 50kg;;;;Simple;No usa
10010035;Queso Tybo;;;;Simple;No usa
10010036;Queso Roquefort;;;;Simple;No usa
10010037;Morron;;;;Simple;No usa
10010038;Vino Tinto;;;;Simple;No usa
1002;Agitador magnético N°3;;;;Simple;No usa
10020001;Acido Clorhidrico 37%;;;;Simple;No usa
10020002;Cinta Ph Reactiva;;;;Simple;No usa
10020003;Probeta De Vidrio 50 ml C/Base;;;;Simple;No usa
10020004;Pipeta Vidrio 10 ml;;;;Simple;No usa
10020005;Pipeta Vidrio 25 ml;;;;Simple;No usa
10020006;Propipeta De Goma;;;;Simple;No usa
10020007;Placa De Petris 60X15 Vidrio;;;;Simple;No usa
10020008;Agua Destila P/ Laborat;;;;Simple;No usa
10020009;Pepsina 1:10000 Nf;;;;Simple;No usa
10020010;Rojo fenol;;;;Simple;No usa
10020011;"Tubo cristal transparente 3/4""";;;;Simple;No usa
10020012;Rep. agitador magnético N°3;;;;Simple;No usa
10020013;Micropipeta 121° 10-100 µL;;;;Simple;No usa
10020014;Micropipeta 121° 20-200µL;;;;Simple;No usa
10020015;Tubo eppendorf 1.5ml bolsax500;;;;Simple;No usa
10020016;Tips p/micropipeta ;;;;Simple;No usa
10020018;Gradilla polipropileno;;;;Simple;No usa
10020019;Ampolla decantación 2L;;;;Simple;No usa
10020020;Filtro de papel ;;;;Simple;No usa
10020021;Vaso precipitado;;;;Simple;No usa
10020022;Ácido Clorhídrico;;;;Simple;No usa
10020023;Kit de micotoxinas;;;;Simple;No usa
10020024;Balanza gramera precisión ;;;;Simple;No usa
10020025;Molinillo p/ laboratorio;;;;Simple;No usa
10020026;Cinta para autoclaves ;;;;Simple;No usa
10020027;Procesadora p/ laboratorio ;;;;Simple;No usa
10020028;Kit de micotoxinas No Grav.;;;;Simple;No usa
10020029;Ampollas control de esporas;;;;Simple;No usa
10020030;Frasco graduado 100ml;;;;Simple;No usa
10020031;Tubo kanh ;p/ laboratorio;;;Simple;No usa
10030001;Bolsa Camiseta;;;;Simple;No usa
10030002;Bolsa Precorte;;;;Simple;No usa
10030003;Bolsa de Residuos;;;;Simple;No usa
10030004;Etiqueta Autoadhesiva;;;;Simple;No usa
10030005;Paños Absorbentes;;;;Simple;No usa
10030006;Bandeja Descartables;;;;Simple;No usa
10030007;Vasos Descartables;;;;Simple;No usa
10030008;Films;;;;Simple;No usa
10030009;Cofias;;;;Simple;No usa
10030010;Toallas de Papel Paq. x10 unid;;;;Simple;No usa
10030011;Papel Limpia Mano;;;;Simple;No usa
10030012;Barbijo;;;;Simple;No usa
10030013;Separadores Folex;;;;Simple;No usa
10030014;Papel Higienico;;;;Simple;No usa
10030015;Servilletas de Papel;;;;Simple;No usa
10030016;Bolsa precorte 25/50;;;;Simple;No usa
10030017;Bolsa camiseta 40/50;;;;Simple;No usa
10030018;Rollo etiqueta adhesiva redond;;;;Simple;No usa
10030019;Bolsa de vacío 40x50;;;;Simple;No usa
10030020;Bandeja p/ milanesas 25x15 ;;;;Simple;No usa
10030021;Rollo numérico;;;;Simple;No usa
10030022;Caja de cartón ;P/ módulo;;;Simple;No usa
10030023;Barbijo No Grav;;;;Simple;No usa
10030024;Elementos de producción varios;;;;Simple;No usa
11010001;Mother gigabyte;;;;Simple;No usa
11010002;Ticketera termica;;;;Simple;No usa
11010003;Impresora zt230 zebra;;;;Simple;No usa
11010004;Cargador universal notebook;;;;Simple;No usa
11010005;Grasa siliconada;;;;Simple;No usa
11010006;Toner;;;;Simple;No usa
11010007;Tinta epson 544 negro;;;;Simple;No usa
11010008;Tinta original hp;;;;Simple;No usa
11010009;Inyector poe ubiquiti;;;;Simple;No usa
11010010;Cámara de seguridad ;;;;Simple;No usa
11010011;Conector plug rg45;;;;Simple;No usa
11010012;Bobina de utp cat 5e furukawa;;;;Simple;No usa
11010013;Cable serial fiscal;;;;Simple;No usa
11010014;Cable rs 232;;;;Simple;No usa
11010015;Cable alargue rs232 db9 HH;;;;Simple;No usa
11010016;Cable alargue rs232 db9 MH;;;;Simple;No usa
11010017;Cable extensor usb MH;;;;Simple;No usa
11010018;X10u conector ;;;;Simple;No usa
11010019;Rollo termico;;;;Simple;No usa
11010020;Rollo cln;;;;Simple;No usa
11010021;Ribbons cera resina;;;;Simple;No usa
11010022;Rollo cable lan;;;;Simple;No usa
11010023;Cable HDMI ;;;;Simple;No usa
11010024;Funda p/ notebook;;;;Simple;No usa
11010025;Rollo ribbons 110x74mm;;;;Simple;No usa
11010026;Adaptador de red satelital;;;;Simple;No usa
11010027;Balún cctv;;;;Simple;No usa
11010028;Plug alimentación cámara;;;;Simple;No usa
11010029;Accesorios p/ celulares;;;;Simple;No usa
11010030;Pendrive ;;;;Simple;No usa
11020001;Almohadilla P/ Sello;;;;Simple;No usa
11020002;Abrochadora;;;;Simple;No usa
11020003;Biblioratos;;;;Simple;No usa
11020004;Broches p/ engrampadora;;;;Simple;No usa
11020005;Nepaco;;;;Simple;No usa
11020006;Grampas P/Abroc;;;;Simple;No usa
11020007;Carpetas;;;;Simple;No usa
11020008;Cinta Adhesiva Papel;;;;Simple;No usa
11020009;Cinta Transparente;;;;Simple;No usa
11020010;Clips Metalicos;;;;Simple;No usa
11020011;Corrector;;;;Simple;No usa
11020012;Engrapadora Broches;;;;Simple;No usa
11020013;Folios;;;;Simple;No usa
11020014;Goma de borrar;;;;Simple;No usa
11020015;Impresion Talonarios Varios;;;;Simple;No usa
11020016;Lapiceras;;;;Simple;No usa
11020017;Marcador;;;;Simple;No usa
11020018;Papel Vegetal;;;;Simple;No usa
11020019;Regla;;;;Simple;No usa
11020020;Resaltador;;;;Simple;No usa
11020021;Resma Papel;;;;Simple;No usa
11020022;Marcadores Para Pizarras ;;;;Simple;No usa
11020023;Libretas De Bolsillos ;Anotadores ;;;Simple;No usa
11020024;Perforadoras Para Papel;;;;Simple;No usa
11020025;Pizarra Blanca 0.80 X 0.60;;;;Simple;No usa
11020026;Carpetas A4 Tapa Transparente;;;;Simple;No usa
11020027;Block Anotador De Colores; por 250 Hojas ;;;Simple;No usa
11020028;Cinta Adhesiva 40Mm;;;;Simple;No usa
11020029;Bandas elásticas;;;;Simple;No usa
11020030;Tinta p/ sello de goma ;;;;Simple;No usa
11020031;Cuadernos A5;;;;Simple;No usa
11020032;Sobre papel madera ;;;;Simple;No usa
11020033;Broches 21/06 ;p/ abrochadora;;;Simple;No usa
11020034;Tijera p/ oficina ;;;;Simple;No usa
11020035;Plasticola;;;;Simple;No usa
11020036;Caja de cartón p/ archivo;;;;Simple;No usa
11020037;Broches 10/50;p/ abrochadora;;;Simple;No usa
11020038;Libro de actas ;;;;Simple;No usa
11020039;CD Virgen;;;;Simple;No usa
11020040;Art. Libreria Varios ;;;;Simple;No usa
11020041;Bandeja organizadora archivos;;;;Simple;No usa
11020042;Sello automático;;;;Simple;No usa
11020043;Tabla portapapel ;;;;Simple;No usa
11030001;Lavandina;;;;Simple;No usa
11030002;Lampazo;;;;Simple;No usa
11030003;Pulverizador ;;;;Simple;No usa
11030004;Sendeco 08;;;;Simple;No usa
11030005;Detergente Neutro;;;;Simple;No usa
11030006;Desengrasante P/ Roldanas;;;;Simple;No usa
11030007;Jabon P/ Manos Neutro;;;;Simple;No usa
11030008;Jabon En Polvo;;;;Simple;No usa
11030009;Cloro En Polvo;;;;Simple;No usa
11030010;Desodorante Para Piso;Concentrado;;;Simple;No usa
11030011;Desodorante De Ambiente;;;;Simple;No usa
11030012;Lustramueble;;;;Simple;No usa
11030013;Rejilla De Cocina;;;;Simple;No usa
11030014;Cabo De Madera P/Cepillo;;;;Simple;No usa
11030015;Mopa;;;;Simple;No usa
11030016;Guantes de goma;;;;Simple;No usa
11030017;Naftalina;;;;Simple;No usa
11030018;Cloro liquido;;;;Simple;No usa
11030019;Desengrasante;;;;Simple;No usa
11030020;Cloro en pastillas;;;;Simple;No usa
11030021;Esponja;;;;Simple;No usa
11030022;Virulana;;;;Simple;No usa
11030023;Secador de Piso;;;;Simple;No usa
11030024;Shampo;;;;Simple;No usa
11030025;Aromatizador;;;;Simple;No usa
11030026;Trapo De Piso;;;;Simple;No usa
11030027;Franela;;;;Simple;No usa
11030028;Escobillon De Alambre;;;;Simple;No usa
11030029;Jabon Corporal;;;;Simple;No usa
11030030;Limpia Vidrios;;;;Simple;No usa
11030031;Cepillo P/ Barrer;;;;Simple;No usa
11030032;Broches p/ ropa;;;;Simple;No usa
11030033;Pastilla P/ Inodoro;;;;Simple;No usa
11030034;Cepillo P/ Lavar;;;;Simple;No usa
11030035;Plumero;;;;Simple;No usa
11030036;Jabon Liquido P/ Ropa;;;;Simple;No usa
11030037;Balde;;;;Simple;No usa
11030038;Dispenser De Jabon;;;;Simple;No usa
11030039;Dispenser Toalla Papel;;;;Simple;No usa
11030040;Cesto Residuos;;;;Simple;No usa
11030041;Cepillo De Alambre;;;;Simple;No usa
11030042;Esponja Acero;;;;Simple;No usa
11030043;Jabón Desengrasante X 20 Lts ;Por Bidón;;;Simple;No usa
11030044;Dispenser Para Jabon Liquido;;;;Simple;No usa
11030045;Desengrasante Indus. Limpia +;Industrial;;;Simple;No usa
11030046;Bolsa de residuos 60x90 ;;;;Simple;No usa
11030047;Bolsa de residuos 50x70;;;;Simple;No usa
11030048;Bolsa de residuos 90x120;;;;Simple;No usa
11030049;Bobina de papel industrial ;;;;Simple;No usa
11030051;Insecticida en aerosol;;;;Simple;No usa
11030052;Cabo de plástico p/ cepillo;;;;Simple;No usa
11030053;Bolsa precorte 70x50;Transparente;;;Simple;No usa
11030054;Pala plástica;;;;Simple;No usa
11030055;Sendeco 03 ;;;;Simple;No usa
11030056;Sendeco 09;;;;Simple;No usa
11030057;Dispenser p/ alcohol en gel ;;;;Simple;No usa
11030058;Clax 100 OB (Jabon);;;;Simple;No usa
11030059;Articulos de Limpieza ;;;;Simple;No usa
11030060;Canasto plástico p/ local ;;;;Simple;No usa
11030061;Secador limpia vidrios;;;;Simple;No usa
11030062;Cif cremoso ;;;;Simple;No usa
11030063;Quitasarro ;;;;Simple;No usa
11030064;Cepillo p/ inodoro;;;;Simple;No usa
11030065;Jabon blanco;;;;Simple;No usa
11030066;Gamuza;;;;Simple;No usa
11030067;Rollo fibra vegetal verde;;;;Simple;No usa
11030068;Desoxidante p/ Roldanas;;;;Simple;No usa
11030069;Ácido p/ roldanas;;;;Simple;No usa
11030070;Deseng. Desoxidant p/ Roldanas;;;;Simple;No usa
11030071;Mopa c/ soporte;;;;Simple;No usa
11030072;Cabo de madera ;;;;Simple;No usa
11030073;Cera p/ piso;;;;Simple;No usa
11030074;Canasto p/ ropa grande;;;;Simple;No usa
11030075;Embudo N°31;;;;Simple;No usa
11030076;Tapa p/ inodoro ;;;;Simple;No usa
11030077;Detergente ;;;;Simple;No usa
11030078;Balde escurridor;;;;Simple;No usa
11030079;Sopapa;;;;Simple;No usa
11030080;Cebo en gel p/cucaracha x caja;;;;Simple;No usa
11030081;Lampazo industrial 80cm ;;;;Simple;No usa
11030082;Limpia vidrios ;;;;Simple;No usa
11030083;Cabo de madera p/ barrendero ;;;;Simple;No usa
11030084;Shampo (x litros);;;;Simple;No usa
11030085;Jabón corporal  (x litros);;;;Simple;No usa
11030086;Alcohol etílico (x litro) ;;;;Simple;No usa
11030087;Toallas intercaladas (paquete);;;;Simple;No usa
11030088;Escobillon Barrendero ;;;;Simple;No usa
11030089;Escobillon Anden 80cm;;;;Simple;No usa
11030090;Cabo extensible;;;;Simple;No usa
11030091;Cabo metálico ;;;;Simple;No usa
11030092;Removedor de Particulas ;;;;Simple;No usa
11030093;Kit de PH y Cloro;;;;Simple;No usa
11030094;Líquido p/ lampazo;;;;Simple;No usa
11030095;Tender p/ ropa;;;;Simple;No usa
11030096;Agua oxigenada;;;;Simple;No usa
11030097;Desengrasante Alcalino P/ Roldanas;Lubridual;;;Simple;No usa
11040001;Insecticida p/ maíz;;;;Simple;No usa
11040002;Insecticida líquido p/fumigar ;;;;Simple;No usa
11040003;Fosfuro de aluminio ;;;;Simple;No usa
11040004;Repelente p/ mosquitos ;;;;Simple;No usa
11040005;Mochila p/ fumigar;;;;Simple;No usa
11040006;Trampa doble atrapa moscas ;;;;Simple;No usa
11040007;Arenosa vector Uv p/ moscas;C/placa pegamento;;;Simple;No usa
11040008;Insecticida p/ hormigas;;;;Simple;No usa
11040009;Ácido láctico p/ desinfeccion ;;;;Simple;No usa
11040010;Desinfectante Mant. ;;;;Simple;No usa
11040011;Balde trampa p/ moscas ;;;;Simple;No usa
11040012;Cebo líquido p/ moscas ;Fly hunt;;;Simple;No usa
11040013;Plancha adhesiva ecotrap;;;;Simple;No usa
11040014;Pegamento p/ roedor.;;;;Simple;No usa
11040015;Desincrustante alcalino ;p/ frigorífico ;;;Simple;No usa
11040016;Desincrust. alcalino clorado;p/ granja;;;Simple;No usa
11050001;Fardo de viruta ;;;;Simple;No usa
12010001;Rack 6u;;;;Simple;No usa
12010002;Router tp link;;;;Simple;No usa
12010003;Placa wifi usb;;;;Simple;No usa
12010004;Placa wifi pci;;;;Simple;No usa
12010005;Cpu amd;;;;Simple;No usa
12010006;Camara web  hd 1080p;;;;Simple;No usa
12010007;Cpu intel core i;;;;Simple;No usa
12010008;Estabilizador de tension forza;;;;Simple;No usa
12010009;Cooler;;;;Simple;No usa
12010010;Fuente de alim certificada;;;;Simple;No usa
12010011;Fuente de alim estandar;;;;Simple;No usa
12010012;Disco ssd 240 - 480gb;;;;Simple;No usa
12010013;Apu  ups;;;;Simple;No usa
12010014;Switch 16 bocas;;;;Simple;No usa
12010015;Memorias ram 2-4-8-16;;;;Simple;No usa
12010016;Switch tp link;;;;Simple;No usa
12010017;Placa pci 2 puertos;;;;Simple;No usa
12010018;Monitor 19 - 27 estandar;;;;Simple;No usa
12010019;Monitor 19 pulgadas tactil;;;;Simple;No usa
12010020;Monitor 26 pulgadas estandar;;;;Simple;No usa
12010021;Impresora;;;;Simple;No usa
12010022;Lector cod barras;;;;Simple;No usa
12010023;Escaner;;;;Simple;No usa
12010024;Teclado y mouse;;;;Simple;No usa
12010025;Microprocesador;;;;Simple;No usa
12010026;Mouse;;;;Simple;No usa
12010027;Pads p/ Mouse;;;;Simple;No usa
12010028;Kit internet satelital;;;;Simple;No usa
12010029;Comandera ;;;;Simple;No usa
12010030;Dvr 4CH;;;;Simple;No usa
12010031;Dvr 8CH;;;;Simple;No usa
12010032;Router extensor de rango;;;;Simple;No usa
12010033;Aire comprimido aerosol;;;;Simple;No usa
12010034;Pc Intel completa ssd;i5, i3, i7;;;Simple;No usa
12010035;Pc Intel Core l5-10400;completa;;;Simple;No usa
12010036;Reloj de marcación ;;;;Simple;No usa
12010037;Disco externo usb;;;;Simple;No usa
12010038;Access Point;;;;Simple;No usa
12010039;Cargador celular;Tipo C ;;;Simple;No usa
12020001;Maquina Inverter Lhn 242-I;;;;Simple;No usa
12020002;Auto-Bomba 12V;Para Combustibles ;;;Simple;No usa
12020003;Tanque De Presión Hidro Neum.;Neumático 240L. ;;;Simple;No usa
12020004;Balanza Digital Con Celdas ;;;;Simple;No usa
12020005;Electrobombas Completas ;;;;Simple;No usa
12020006;Piedra de Afilar;;;;Simple;No usa
12020007;Chaira estriada;;;;Simple;No usa
12020008;Chaira Lisa ;;;;Simple;No usa
12020009;Cuchillo 1060.15;;;;Simple;No usa
12020010;Cuchillo 1070.18;;;;Simple;No usa
12020011;Cuchillo 1040.12;;;;Simple;No usa
12020012;Cuchillo 1050.16;;;;Simple;No usa
12020013;Sierra de mano p/ hoja  65cm;;;;Simple;No usa
12020014;Hoja de sierra 65 cm/ 1 cm anc;;;;Simple;No usa
12020015;Hoja de sierra 81,5cm x 6,5cm ;;;;Simple;No usa
12020016;Cuchillo 1070.16;;;;Simple;No usa
12020017;Hoja de sierra Kas 05-300;;;;Simple;No usa
12020018;Hoja de sierra;;;;Simple;No usa
12020019;Guía de sierra completa;;;;Simple;No usa
12020020;Bandeja para picadora;;;;Simple;No usa
12020021;Carretilla plástica ;;;;Simple;No usa
12020022;Cuchilla para picadora;;;;Simple;No usa
12020023;Disco para picadora;;;;Simple;No usa
12020024;Rueda p/carro;;;;Simple;No usa
12020025;Balde p/ tripas;;;;Simple;No usa
12020026;Cajón ventilado apilable;;;;Simple;No usa
12020027;Balanza Electrónica 30kg ;;;;Simple;No usa
12020028;Tambor 200lts c/ tapa;;;;Simple;No usa
12020029;Gancho p/ desposte;;;;Simple;No usa
12020030;Arco de sierra de mano N°25;;;;Simple;No usa
12020031;Estuche plástico p/ cuchillo;;;;Simple;No usa
12020032;Selladora de films;;;;Simple;No usa
12020033;Bandeja para batea ;;;;Simple;No usa
12020034;Tabla para corte;;;;Simple;No usa
12020035;Mesa de apoyo;;;;Simple;No usa
12020036;Carro porta insumos;S1;;;Simple;No usa
12020037;Cortina PVC;;;;Simple;No usa
12020038;Contenedor pvc 660lts;;;;Simple;No usa
12020039;Electrobomba comp. 10.5%;;;;Simple;No usa
12020040;Moldes formadores ;;;;Simple;No usa
12020041;Placa Plástica - Arreador;;;;Simple;No usa
12020042;Olla aluminio 98L;;;;Simple;No usa
12020043;Bandeja apilable p/ nuggets;;;;Simple;No usa
12020044;Caja registradora;;;;Simple;No usa
12020045;Gazebo;;;;Simple;No usa
12030001;Pava eléctrica;;;;Simple;No usa
1203002;Organizador Plástico ;;;;Simple;No usa
1203003;Bomba presurizadora de red;;;;Simple;No usa
1203004;Gancho acero inox p/ pesuñas;;;;Simple;No usa
1203005;Recipiente plástico ;;;;Simple;No usa
1203006;Bomba centrífuga de ¼”  hp;;;;Simple;No usa
1203007;Calador Sonda ;;;;Simple;No usa
1203008;Estufa ;;;;Simple;No usa
1203009;Detector billetes falsos;;;;Simple;No usa
1203010;Bomba S.Speroni1000-1 ¼-1.34HP;;;;Simple;No usa
1203011;Ventilador de pie;;;;Simple;No usa
1203012;Máquina espumadora ;;;;Simple;No usa
1203013;Soporte de pared p/ TV ;;;;Simple;No usa
1203014;Ozonizador ;;;;Simple;No usa
1203015;Extractor 1400rpm 40x40;Entrada 220;;;Simple;No usa
1203016;Máquina de contar billetes;;;;Simple;No usa
13010001;Alquileres;;;;Simple;No usa
13020001;Anabolicos Sinteticos;;;;Simple;No usa
13020002;Aines-Antinflamatorios;;;;Simple;No usa
13020003;Bencimidazoles G3;;;;Simple;No usa
13020004;Betalactamicos Y Cefalosporina;;;;Simple;No usa
13020005;Corticoides G2;;;;Simple;No usa
13020006;Nitroimidazoles;;;;Simple;No usa
13020007;Colistina A+B;;;;Simple;No usa
13020008;Tetraciclinas G3;;;;Simple;No usa
13020009;Analisis Microbiologic de Agua;;;;Simple;No usa
13020010;Analisis Plomo;;;;Simple;No usa
13020011;Analisis Cadmio;;;;Simple;No usa
13020012;Analisis Aujeszky;;;;Simple;No usa
13020013;Analisis Brucelosis;;;;Simple;No usa
13020014;Toltrazuril;;;;Simple;No usa
13020015;Quinolonas;;;;Simple;No usa
13020016;Macrolidos G1;;;;Simple;No usa
13020017;Beta Agonistas G3;;;;Simple;No usa
13020018;Análisis Bacteriológicos ;;;;Simple;No usa
13020019;Análisis histopatológicos;;;;Simple;No usa
13020020;Análisis Coproparasitológico ;;;;Simple;No usa
13020021;Análisis Necropsia;;;;Simple;No usa
13020022;Análisis Diarrea ;;;;Simple;No usa
13020023;Análisis Genes Virulencia PCR;;;;Simple;No usa
13020024;Análisis Lawsonia PCR ;;;;Simple;No usa
13020025;Control Biológico de Est. ;;;;Simple;No usa
13020026;Análisis Clostridium;;;;Simple;No usa
13020027;Análisis PCR poliserositis;;;;Simple;No usa
13020028;Análisis Antibiogramas;;;;Simple;No usa
13020029;Toma de muestra sangre;;;;Simple;No usa
13030001;Servicio Interbanking;;;;Simple;No usa
13030002;Servicio Mercado Pago;;;;Simple;No usa
13030003;Servicio Veraz;;;;Simple;No usa
13030004;Servicio Posnet;;;;Simple;No usa
13030005;Comision de Tarjetas 21% ;;;;Simple;No usa
13030006;Comision de Tarjetas 10.5%;;;;Simple;No usa
13030007;Gasto Tarjeta YPF ;;;;Simple;No usa
13030008;Servicio Payway;;;;Simple;No usa
13030009;Comisión de Tarjetas No gravad;;;;Simple;No usa
13040001;Software;;;;Simple;No usa
13040002;No Gravados Software;;;;Simple;No usa
13040003;Servicio de Hosting;;;;Simple;No usa
13050001;Seguros De Vehiculos;;;;Simple;No usa
13050002;Seguros De Vehiculos No Gravad;;;;Simple;No usa
13050003;Seguro flete internacional ;;;;Simple;No usa
13050004;Seguros Varios;;;;Simple;No usa
13050005;Seguros Varios No Gravad;;;;Simple;No usa
13060001;Comisiones Bancarias;;;;Simple;No usa
13060002;Impuestos y otras tasas;;;;Simple;No usa
13060003;Gasto Por Cheque Rechazado;;;;Simple;No usa
13060004;Cheques Rechazados Terceros;;;;Simple;No usa
13060005;No Grav Gasto Cheque Rechazado;;;;Simple;No usa
13060006;Comisiones Bancarias Exentas;;;;Simple;No usa
13060007;Débito 33%;;;;Simple;No usa
13060008;Débito Gasto;;;;Simple;No usa
13060009;Crédito 33%;;;;Simple;No usa
13060010;Crédito Gasto;;;;Simple;No usa
13060011;Sircreb ;;;;Simple;No usa
13060012;Int. Financieros por desc. ;;;;Simple;No usa
13060013;Cheques Rechazados Propios ;s/ iva ;;;Simple;No usa
13060014;Comisiones Bancarias 10.5;;;;Simple;No usa
13060015;Cheques Rechazados Terceros;interno;;;Simple;No usa
13070001;Recargo Financiero;;;;Simple;No usa
13070002;Int. por financiación Bice ;;;;Simple;No usa
13070003;Comisión por financiamiento ;;;;Simple;No usa
13080001;Servicio De Mensajeria Y Encom;;;;Simple;No usa
13080002;Serv. No grav de Mens. y Encom;;;;Simple;No usa
13090001;Energia Electrica;;;;Simple;No usa
13090002;Energia Electrica No Gravado;;;;Simple;No usa
13090003;Agua residencial y cloacas;;;;Simple;No usa
13090004;Agua resid y cloacas No Grav;;;;Simple;No usa
13090005;Abono de Internet;;;;Simple;No usa
13090006;Servicio de telefonia coorp;;;;Simple;No usa
13090007;Serv De Telef Coorp No Gravado;;;;Simple;No usa
13090008;Alarmas;;;;Simple;No usa
13090009;Estacionamiento y lavado;;;;Simple;No usa
13090010;Serv. Telefonía  Corp. al 27%;;;;Simple;No usa
13090011;Abono de Internet 27%;;;;Simple;No usa
13100001;Publicidad;;;;Simple;No usa
13100002;Publicidad exento ;;;;Simple;No usa
13100003;Ploteos ;;;;Simple;No usa
13100004;Cartelería ;;;;Simple;No usa
13100005;Serv. Comunicación Integral ;;;;Simple;No usa
13110001;Interés obra social directorio;;;;Simple;No usa
13110002;Obra Social Directorio ;;;;Simple;No usa
13110003;Obra Social Empleados No Grav;;;;Simple;No usa
13110004;Int obra social emp. No grav ;;;;Simple;No usa
13120001;Certificaciones y Formularios;;;;Simple;No usa
13120002;Comisión por compra maíz ;;;;Simple;No usa
13120003;Recolección residuos patógenos;;;;Simple;No usa
13120004;Seg. satelital de flota;;;;Simple;No usa
13120005;Serv. vigilancia ;;;;Simple;No usa
13120006;Gastos de terminal ;;;;Simple;No usa
13120007;Impuestos y tasas aduaneras ;;;;Simple;No usa
13120008;Imp. y tasas aduaneras no grav;;;;Simple;No usa
13120009;Imp. y tasas aduaneras 10.5;;;;Simple;No usa
1401;Manguera p/ riego ;;;;Simple;No usa
14010001;Abrazadera Estampada 70-90 ;;;;Simple;No usa
14010002;Abrazadera Estampada 21-38 ;;;;Simple;No usa
14010003;Grampas P/ Salidas De Silos ;;;;Simple;No usa
14010004;"Grampas P/Salidas De Kg.4 1/2""";;;;Simple;No usa
14010005;Fuelle P/ Inodoros ;;;;Simple;No usa
14010006;Bolla P/ Flotante Usadas ;;;;Simple;No usa
14010007;"Varilla Para Flotante  1/2""";;;;Simple;No usa
14010008;"Bulón 3/8"" X 4"" ";;;;Simple;No usa
14010009;"Bulón 3/8"" X 1/2""";;;;Simple;No usa
